,,,,,Run,,,,,,,Cooldown,,,,,,,TOTAL,,,,,,,,
Location,Day,Month,Day,Date,Run Calories,Run Distance,Average Pace,Average Pace Kevin,MPH Kevin,Run Minutes,Run Seconds,Walk Calories,Walk Distance,Average Pace,Average Pace Kevin,MPH Kevin,Walk Minutes,Walk Seconds,Calories,Distance,Minutes,Seconds,Time,Start Time,,,
Outside,Sunday,6,10,06/10/18,410,3.57,0,08:31,7.057,30,21,0,0.69,0,18:20,3.272,12,39,410,4.26,43,0,0:43:00,11:00 AM,,,
,Monday,6,11,06/11/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Tuesday,6,12,06/12/18,437,4.16,0,08:54,6.745,37,0,0,0.22,0,18:11,3.300,4,0,437,4.38,41,0,0:41:00,10:15 AM,,,
Outside,Wednesday,6,13,06/13/18,429,4.02,0,07:58,7.537,32,0,0,0.24,0,16:40,3.600,4,0,429,4.26,36,0,0:36:00,5:55 PM,,,
,Thursday,6,14,06/14/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Friday,6,15,06/15/18,422,4.01,0,08:44,6.874,35,0,0,0.21,0,19:03,3.150,4,0,422,4.22,39,0,0:39:00,10:00 AM,,,
,Saturday,6,16,06/16/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Sunday,6,17,06/17/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Monday,6,18,06/18/18,429,4.09,0,08:34,7.011,35,0,0,0.19,0,19:18,3.109,3,40,429,4.28,38,40,0:38:40,8:00 PM,,,
,Tuesday,6,19,06/19/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Wednesday,6,20,06/20/18,247,0.00,0,,,0,0,0,0,0,,,0,0,247,0.00,0,0,0:00:00,8:00 PM,,,
,Thursday,6,21,06/21/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Friday,6,22,06/22/18,536,5.13,0,08:47,6.840,45,0,0,0.22,0,18:11,3.300,4,0,536,5.35,49,0,0:49:00,2:30 PM,,,
,Saturday,6,23,06/23/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Sunday,6,24,06/24/18,428,4.04,0,08:55,6.733,36,0,0,0.27,0,18:32,3.240,5,0,428,4.31,41,0,0:41:00,12:00 PM,,,
,Monday,6,25,06/25/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Tuesday,6,26,06/26/18,440,4.29,0,08:10,7.354,35,0,0,0.11,0,20:10,2.977,2,13,440,4.40,37,13,0:37:13,7:05 PM,,,
,Wednesday,6,27,06/27/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Thursday,6,28,06/28/18,373,3.06,0,08:50,6.800,27,0,0,1.01,0,18:10,3.305,18,20,373,4.07,45,20,0:45:20,10:10 AM,,,
,Friday,6,29,06/29/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Saturday,6,30,06/30/18,279,2.69,0,08:34,7.017,23,0,0,0.13,0,15:24,3.900,2,0,279,2.82,25,0,0:25:00,11:00 AM,,,
Outside,Sunday,7,1,07/01/18,518,5.05,0,08:37,6.965,43,30,0,0.17,0,17:39,3.400,3,0,518,5.22,46,30,0:46:30,8:10 PM,,,
,Monday,7,2,07/02/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Tuesday,7,3,07/03/18,378,3.21,0,08:47,6.833,28,11,0,0.81,0,17:18,3.471,14,0,378,4.02,42,11,0:42:11,10:45 AM,,,
Outside,Wednesday,7,4,07/04/18,273,2.57,0,08:34,7.009,22,0,0,0.23,0,16:19,3.680,3,45,273,2.80,25,45,0:25:45,8:05 PM,,,
,Thursday,7,5,07/05/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Friday,7,6,07/06/18,524,5.17,0,08:31,7.050,44,0,0,0.07,0,17:52,3.360,1,15,524,5.24,45,15,0:45:15,11:00 AM,,,
,Saturday,7,7,07/07/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Sunday,7,8,07/08/18,622,6.02,0,07:52,7.630,47,20,0,0.19,0,17:59,3.336,3,25,622,6.21,50,45,0:50:45,6:10 PM,,,
,Monday,7,9,07/09/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Tuesday,7,10,07/10/18,401,3.85,0,08:35,7.000,33,0,0,0.21,0,16:40,3.600,3,30,401,4.06,36,30,0:36:30,6:00 PM,,,
,Wednesday,7,11,07/11/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Thursday,7,12,07/12/18,402,4.00,0,08:40,6.926,34,39,0,0.37,0,18:31,3.240,6,51,402,4.37,41,30,0:41:30,,,,
Outside,Friday,7,13,07/13/18,215,2.02,0,08:40,6.925,17,30,0,0.2,0,19:10,3.130,3,50,215,2.22,21,20,0:21:20,11:05 AM,,,
Outside,Saturday,7,14,07/14/18,430,4.21,0,09:02,6.647,38,0,0,0.14,0,18:28,3.251,2,35,430,4.35,40,35,0:40:35,5:50 PM,,,
,Sunday,7,15,07/15/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Monday,7,16,07/16/18,391,3.87,0,08:55,6.730,34,30,0,0.06,0,16:40,3.600,1,0,391,3.93,35,30,0:35:30,4:10 PM,,,
